,article,date,comments
0,진짜 진짜 진짜 우울하다 우울한 건 숨길 수가 없구나,01/24 21:19,[]
1,아무 것도 묻지 말고 위로해줘,01/24 04:31,"['괜찮아', '어떤 일이든 잘 했어, 잘하고 있고, 잘 할거야.']"
2,죽고싶당,01/22 01:22,"['자해하면 기분 좀 나아져?', '일시적으로는 나아짐 근데 다 하고나면 두배로 기분 더러워져', '자해도 못하네ㅜㅜ']"
3,재작년 진짜 죽고 싶은 생각 너무 많이 들고 우울증이 너무 심했던 사람이었습니다... 친구도 없고 내세울만한 재능도 없어서 끝없는 우울 속에  계속 빨려 들어갔어요. 그때 저를 그나마 숨쉬게 한 게 어쩌다 연락이 닿은 아는 언니 1명 덕분이었어요. 그 언니가 저를 주기적으로 만나주고 밥도 사주시면서 계속 제 이야기를 들어주시더라구요. 한동안 모르고 지냈던 언니였는데도 불구하고요....상태가 많이 괜찮아진 지금 시점에서 저또한 누군가에게 그런 존재가 되고 싶다는 생각이 들었습니다. 그냥 들어줄게요. 그냥 그랬구나. 힘들었겠다. 그런 말만 할게요. 관심있으면 들어와서 당신의 이야기를 나눠주세요.종교강요×광고×https://open.kakao.com/o/sKF6s5Ze,01/21 22:04,[]
4,"우울증 약 1년 반째 복용중예전처럼 며칠 몇주씩 심하게 우울하고 일상생활 못하고 그러지는 않을 정도가 됐다.그런데도 지금 죽을 수 있다면 죽기를 택할 것 같다.사랑하는 주변 사람들에게는 미안하지만, 나는 죽기를 택할 것이다.이렇게 은은한 자살사고가 일상 사이에서 빼꼼 얼굴을 드러내면 나도 아직 완치는 멀었나 생각이 든다.물론 자살사고가 그렇게 길게 이어지지는 않고, 자고 일어나면 대체로 괜찮아지는 정도지만.길고 긴 싸움, 언제까지 해야 할까...",01/21 17:21,"['ㄱㅊ 난 10년짼데 점점 나아지고있어 버틸만해', '4년 약을 먹고, 많이 힘들고, 나를 몰라주고 상처주는 말을 했던 사람들도 있었지만, 한달 전부터 약을 끊고, 다른 사람들이 생각하는 평범한 삶을 살아볼 수 있다는 희망이 들어. 우리는 죽고 싶은 게 아닐거야. 이렇게 살고 싶지가 않을 뿐... 얼마나 걸릴지 모르지만, 언젠가는 일상 속에서 종종 미소를 띄는 날이 올거야.']"
5,우울해서 미칠거같아 죽을거같아,01/21 17:11,[]
6,죽고싶다,01/21 17:03,[]
7,나 사람들이 아는 나랑 진짜 나랑 달라서 힘들어안그래도 진짜 예민하고 맘 약한 스타일인데 이러면 사회생활하기 힘들잖아…나를 속여가면서 겉으로는 되게 털털하고 재밌는 사람으로 살고 있는데 다들 인싸라고 하는데 사실 재밌으면서도 한 편으로 그 수많은 인간 관계 유지 하기도 힘들고 집에 오면 정말 조용히 혼자 노래 듣다가 울고 그래 근데 심지어 이걸 그 누구한테도 말 못하겠어 그래서 우울증 약을 2년째 먹는데 그냥 뭐랄까 왜 태어났지 살려고 유지하는게 힘들어 다들 그러니..?,01/20 23:57,"['나도 요즘 그런 생각 들더라내 진짜 성격이 잘 안나오게 되는거 같아 특히 힘들고 예민한 모습들은 더욱.. 사람들은 털털하고 쿨하고 신경 안쓴다고 생각하는거 같은데 최근 내 모습보면 그건 또 아닌거 같고 그러다보니 인간관계 유지도 힘들고ㅠ왜 태어났는지에 대해 질문하는것도 나랑 비슷한거 같아정신적, 신체적으로도 체력이 안좋아지다보니 다 힘들고 지쳐 진짜 마지막 말처럼 살려고 유지하는게 힘든거 같아..', '우울증 약은 먹으면 효과는 어떤것 같아혹시 기분이 조금 나아지는게 있어?']"
8,재밌게살고싶다정상적으로 어울리고싶다정상적이지 않은 관계가 혼란스럽다,01/20 00:44,[]
9,나 진짜 미치겠어건강은 점점 악화되고되는 일은 없고다 포기하고 싶은데 못하겠고돈이 하늘에서 떨어지기만하면 그냥 진짜 아무것도 안하고 살고 싶은데 망상에 불과하고나 진짜 미치겠다 나 진짜 왜 이럴까?나 진짜 왜 이럴까,01/17 18:01,['나도']
10,사는거 재미없다,01/17 14:33,[]
11,인간관계가 너무 싫다 있던 사람도 다 떠나가는 기분이다,01/16 21:43,[]
12,누군가가 나를 버릴까 항상 전전긍긍하며 살기 보다는 그냥 죽고싶어살찌면 모두가 나를 싫어할까 매일 먹고 토하고 굶고 반복하는 인생도 그만 두고싶어눈뜨면 음식을 먹을까봐 하루에 20시간 넘게 자는 것도 그만하고 싶어술 없이는 한시간도 못자는 인생도 그만두고 싶어그냥 죽고싶어누가 나를 죽여줬음 좋겠어,01/14 02:10,"['어딘가에 외모나 어떤 다른 조건 없이 널 그자체로 사랑하는 사람 있을거야 근데 반대로 외모가 뛰어나도 널 그 자체로 싫어하는 사람도 있을거야그리고 너를 버리는 사람도 있는 반면 너를 원하는 사람도 있을거야 그래서 난 타인에 의해서 감정소모 할 필요없다고 생각해 버릴까 전전긍긍하지말라는거지 어짜피 그들은 내가 어떻게 해도 그렇게 할거니까 너도 알지만 너 자신을 먼저 사랑해야 다른 사람도 널 사랑할 수 있지 않을까 이렇게 말하는 나도 술 없이 잠 못자고 인간관계로 스트레스 받지만 그래도 내가 통제할 수 없는 부분에 대해 괴로워할 필요 없다고 생각해 이런 사고를 가져야 타인의 시선, 평가, 사랑 같은 요소들에서 자유로워지는 삶을 살 수 있는거 같아난 위에 말들로 위로되고 흔들리고 괴로울때 안정적으로 멘탈 잡은거 같아너도 도움됐으면 좋겠어서 길게 한번 남겨봤어행복하자']"
13,요즘 핸드폰으로 현실도피 인하면 하루종일 자살하고 싶다는 생각밖에 안들어,01/13 17:58,"['진짜 죽어버리고 싶은데 아직은 살만한가 죽을 용기가 안난다 용기가..', '내가쓴줄이라고 할려그랬는데 진짜로 내가 썼네.. 하... 언젠까지 살아야돼']"
14,"애들아, 우울증이나 불안장애 같은 정신질병들도 노력하면 발병 전 평범했던 내 모습으로 충분히 돌아갈 수 있겠지??예전에 비해 기억력이나 집중력이 많이 떨어져있고 스트레스에도 전보다 취약해져있는데 계속 이렇게 방치하면 나중에는 조현병같은 더 큰 질환이 찾아오지 않을까 괜시리 무서워지더라고예전으로 돌아갈 수 있을까? 있겠지?",01/13 17:42,['있더라']
15,ㅁㄹㄴㅌㄷㅊㅇㅈㅇㅅㄴㄱㄱㅇㅈㅂㅈㅇㅅㅇ,01/11 17:01,[]
16,약 먹으면 좀 괜찮을려나,01/11 11:52,[]
17,약 먹기 전후랑 몸무게 20kg 넘게 차이남...,01/10 18:54,"['야나두', '나는 50에서 77 됐어', '나도 53에서 65됨']"
18,아 약에 취해서 인스타에 약어쩌구 스토리에 새벽에 올렸다가 눈뜨자마자 삭제함.. 나 어떡해,01/10 11:32,['아무일 없던 것 처럼 모르는 일인 것처럼 행동해']
19,어떡해 애들아우리 어떡하지,01/09 02:40,"['왜?', '그러게 그냥 이대로 계속 살아가면 될줄 알았는데 너무 힘드네']"
20,죽을것같아 매일 울면서 밤을 지새다가 점심즈음에 마지못해 일어나 내 머리속에 쓸데 없는 생각들이 흘러넘쳐서 의미있는 생각은 아무것도 할 수가 없어. 머리가 터져버릴것같아,01/08 22:58,[]
21,부모님만 아니였으면 진작에 갔다,01/07 21:44,[]
22,죽고싶은데 죽지 못하는 나는 뭘까,01/07 20:20,[]
23,가끔씩 높은 데서 몸을 날려서 뚝 떨어지고 싶다.근데 아프고 싶진 않아.시간내서 놀이동산이나 가봐야겠다.,01/07 08:20,[]
24,죽고싶다 진짜로,01/06 16:37,['무슨 일 있어?']
25,"2022년의 연말은 나에게 최악이었던 연말이었다내가 성인 아스퍼거라는 걸 처음 진단받았고 그동안의 문제가 모두 나에게 있었다는 걸 알게 되었기 때문이다아스퍼거면 아스퍼거답게 사람을 피하거나 내향적인 성격이었으면 차라리 이렇게 민폐도 안 끼쳤을 것 같은데, 꼴에 경증이라고 사람은 오지게 좋아해서 항상 관계의 끝에서는 민폐만 끼치는 게 너무 싫다이럴 거면 차라리 어릴 때 진단받고 치료받았으면 좋았을 텐데. 아니 이러기 전에 그냥 좋다고 느꼈던 사람들을 안 만났다면 깔끔하게 2022년 여름에 죽을 수 있었을 텐데.",01/06 10:20,[]
26,돈없어,01/04 18:25,[]
27,이러다 진짜 죽을 것 같아 무섭다,01/04 00:41,['무슨 일이야?']
28,자살하고 싶다그리고 아무도 날 모르고 아무도 신경 안 쓰면 좋겠어,01/03 20:22,['무슨 일 있오?']
29,죽고싶다,01/03 20:17,[]
30,이젠 진짜 죽고싶어... 진짜 진심 진심으로 그만 살고 싶어 사는게 형벌이야 간절하게 죽고싶다,01/03 20:10,['왜왜 무슨일이야']
31,"나같은건 도대체 왜 태어나서 세상에 민폐만 끼치걸까 지금도 숨쉴때마다 다른사람 공기 빼았는거고 고작 한다는게 쓰레기 배출해서 지구 환경이나 더럽히는데 일조하고 애초에 세상에 태어나서는 안될 존재가 탄생해버럈어 그게 원래 내운명인데, 운명을 거스르려고 꾸역끄역 사니까 인생이 이리도 고통스러운거야 빨리 하느님 곁으로 오라고 손짓하는데 나는 자꾸만 살려고 아둥바둥하는구나 역겹고 가증스러운것",01/03 19:53,[]
32,새해인데도 달라지는게 없네,01/03 18:04,[]
33,"ADHD인데 공부하는게 즐거운 사람이 있을까? 보통 지능에 상관없이 ADHD들은 일반사람보다 학습에 있어서 집중력이 좀 떨어지고 같은 시간 의자에 앉아있어도 학습효율이 떨어지잖아 똑같은 시간을 공부한다고 쳤을때 점수가 부진할 확률이 크고, 그러면 자연스럽게 공부라는게 싫어지지 않을까?사실 내가 ADHD가 매우 의심되는 사람 중 한명이라 궁금해서 물어봐.나는 외국어든 숫자든 그림이든 스포츠든 어떤 것이든지 학습(공부)하기가 너무 싫고 힘들고 몇일만에 다 그만두게 돼 엄격한 학벌주의 결과주의 대학간판주의 부모님 밑에서 매일매일 옥상에서 뛰어내릴 생각을 참고참으면서 공부해서 운좋게 외대 들어오긴 했거든?외대 들어오자마자 우울증+불안장애 터지고 제정신아닌 상태로 살아가고 있는데내가 '공부'라는게 미치도록 싫은 이유가 가정환경때문인지 ADHD라는 성향 때문인지 그 원인을 앓고 싶어공부공부하는 부모님 밑에서 자라서 이렇게 공부라는게 치를 떨만큼 싫은건지 아니면 또 다른 문제인지",01/03 16:17,"['근데 이거 진짜 사바사야.. 나 아는 언니 adhd 진짜 심해서 맨날 약속도 늦고 학교도 못가고 하는데 고려대생임', '여러가지가 복합적으로 얽혀서 그런거 아닐까?', '그게 Adhd탓은 아닐껄.. 난 adhd아닌데도 쓰니가 쓴 본문과 같아뭐든지 상상에 그치고 실천하지 않고학습한다는 그 행위 자체가 하기싫어 미쳐버리겠는거', '수능 공부도 너무 하기도 싫고 이런 나약해빠진 나자신도 싫고 세상 모든게 다 싫어서 손목 그어가면서 공부함', 'adhd인데 너처럼 우울증도 있어서 확답을 못주겠다 ㅠㅠ']"
34,괜찮아지는가싶다가도 다시 악화될 징조가 보인다 그냥 끝이 안보이고 먼산바라보면서 하염없이 손목긋거 싶다,01/03 14:59,"['아니야,,,우리 같이 괜찮아져 보자,,']"
35,소개팅 3연타 까이고나니 후유증 존나 심하네,01/02 22:39,['우울증임?']
36,걍 ㅈ같다 진짜,01/01 23:28,[]
37,"죽고는 싶은데 스스로 죽기는 싫고 남이 죽여주거나 천재지변, 사고같은거로 죽고 싶다딱히 내가 특별하거나 중요하지는 않지만 주변 좋은 사람들 마음 괜히 뒤집어 놓고 싶지는 않아서....ㅈㅅ 보다는 사고사가 더 떠나 보내기 좋잖아",01/01 20:12,[]
38,스위스 안락사 몸멀쩡해도 해줘?,01/01 16:58,['아니']
39,울면서 새해를 시작하긴 했지만 올해는 덜 고통스럽길.덜 행복해도 좋으니 조금만 우울하고 조금만 불안하길🙏 우리 모두 다,01/01 00:54,[]
40,진짜 부모가 원망스럽고 하느님이 원망스러워나같은 쓰레기를 지상세계에 내던져놨으면 빨리 수거해가라고 쫌,22/12/31 22:19,['하느님이 없는 게 아닐까?']
41,곧 2023년인데 기분 ㅈ같네,22/12/31 19:11,[]
42,사라지고 싶다,22/12/31 13:13,[]
43,사실 내가 모든 인연들을 내손으로 끊어버린거였네나한테 다가와준 사람은 많은데...sns를 하면 다시 만날 수 있을까 그 친구들...,22/12/31 01:29,['너 손으로 끊은 이유를 잘 생각해보고 고민해봐 당장의 외로움 때문에 망각한 걸 수도 있어']
44,아무일도 없는데 자살하고 싶음 근데 자살은 절대 안할거거든 그래서 그런지 죽지는 못하고 자기파괴적인 행동이 하고싶울때가 많아,22/12/29 21:50,"['나도', '나도']"
45,걍 유서쓰고 시원하게 떠나고 싶다,22/12/29 03:44,[]
46,결국 자살이 답인가,22/12/28 20:21,"['그러게 그게 답인걸까', 'ㄹㅇ...']"
47,크리스마스이지만 여전히 난 우울하다...,22/12/25 13:26,[]
48,진짜 지옥이다 내가 사는 삶 자체 이게 지옥이지전생에 아주 크나큰 죄를 지었나보다,22/12/25 02:45,[]
49,왜이렇게 나만 못난 것 같지 나만 불행한 것 같지,22/12/24 08:12,['왜이렇게너는 예쁜 걸까너는 빛나는 걸까너의 미래가 기대 돼']
50,나 이번에 시험 세개나 제 시간 놓쳐서 감점 받으면서 시험 다시봤어. 다른 애들은 잘만 하던데 왜 나는 시간맞추는 것조차 버겁지? 왜 나는 이런 것도 힘들지? 맘에 안들어. 그냥 죽고싶었는데 아직까지 살아있네..,22/12/24 08:02,[]
51,슬픈건지 추운건지 모르겠다,22/12/22 20:38,[]
52,자살하고싶다,22/12/22 16:38,"['아니야,,,그러지 마,,']"
53,에타를 끊어야 돼,22/12/22 11:47,[]
54,죽고싶다,22/12/21 16:33,[]
55,"미래가 너무 불안하다. 누군가는 불행해야만 세상이 돌아가는데, 그게 내가 아닐거라는 보장도 없다. 확 죽어버렸으면 좋겠다.",22/12/21 04:24,[]
56,마음이 점점 가난해져,22/12/20 15:51,['오늘은 5분이라도 행복 했길 바라']
57,살기엔 내가 너무 나약하다,22/12/20 01:32,"['세상이 너무해', '언젠가 너무해도 이건 너무 너무하다싶으면 끝낼까봐']"
